/* DATA DESCRIPTION:
Citation:	Day-Stirrat, Ruarri J; Flemings, Peter B; You, Yao; Aplin, Andrew C; van der Pluijm, Ben A (2012): (Table 1) Physical properties from IODP Holes 308-U1322B, 308-U1322D and 308-U1324B. PANGAEA, https://doi.org/10.1594/PANGAEA.787951, 
	In supplement to: Day-Stirrat, RJ et al. (2012): The fabric of consolidation in Gulf of Mexico mudstones. Marine Geology, 295-298, 77-85, https://doi.org/10.1016/j.margeo.2011.12.003
Related to:	Day-Stirrat, Ruarri J; Flemings, Peter B; You, Yao; van der Pluijm, Ben A (2013): Modification of mudstone fabric and pore structure as a result of slope failure: Ursa Basin, Gulf of Mexico. Marine Geology, 341, 58-67, https://doi.org/10.1016/j.margeo.2013.05.003
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: http://www.iodp.org/)
Coverage:	MEDIAN LATITUDE: 28.001549 * MEDIAN LONGITUDE: -89.001051 * SOUTH-BOUND LATITUDE: 28.001329 * WEST-BOUND LONGITUDE: -89.002318 * NORTH-BOUND LATITUDE: 28.001660 * EAST-BOUND LONGITUDE: -89.000417
	MINIMUM DEPTH, sediment/rock: 71.5 m * MAXIMUM DEPTH, sediment/rock: 579.6 m
Event(s):	308-U1322B * LATITUDE: 28.001657 * LONGITUDE: -89.000417 * ELEVATION: -1319.5 m * Recovery: 236.79 m * CAMPAIGN: Exp308 (Gulf of Mexico Hydrogeology) (URI: https://doi.org/10.2204/iodp.proc.308.2006) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Drilling/drill rig (DRILL) * COMMENT: 29 cores; 234.5 m cored; 101 % recovered; 0 m drilled; 234.5 m penetrated
	308-U1322D * LATITUDE: 28.001660 * LONGITUDE: -89.000420 * ELEVATION: -1318.9 m * Recovery: 27.21 m * CAMPAIGN: Exp308 (Gulf of Mexico Hydrogeology) (URI: https://doi.org/10.2204/iodp.proc.308.2006) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Drilling/drill rig (DRILL) * COMMENT: 3 cores; 26.8 m cored; 101.5 % recovered; 148.2 m drilled; 175 m penetrated
	308-U1324B * LATITUDE: 28.001329 * LONGITUDE: -89.002318 * ELEVATION: -1056.8 m * Recovery: 569.92 m * CAMPAIGN: Exp308 (Gulf of Mexico Hydrogeology) (URI: https://doi.org/10.2204/iodp.proc.308.2006) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Drilling/drill rig (DRILL) * COMMENT: 74 cores; 608.2 m cored; 93.7 % recovered; 0 m drilled; 608.2 m penetrated
Parameter(s):	Event label (Event)
	Sample code/label (Sample label) * PI: Day-Stirrat, Ruarri J * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	Sample comment (Sample comment) * PI: Day-Stirrat, Ruarri J
	DEPTH, sediment/rock [m] (Depth) * GEOCODE * COMMENT: mbsf
	Size fraction < 0.002 mm, > 9 phi, clay [%] (<2 µm, >9 phi) * PI: Day-Stirrat, Ruarri J
	Void ratio (Void ratio) * PI: Day-Stirrat, Ruarri J * COMMENT: from MICP
	Porosity [% vol] (Poros) * PI: Day-Stirrat, Ruarri J * COMMENT: from MICP
	Radius [µm] (Radius) * PI: Day-Stirrat, Ruarri J * COMMENT: Mean Pore Radius
	Radius [µm] (Radius) * PI: Day-Stirrat, Ruarri J * COMMENT: Pore Radius at 10% Mercury Saturation
	Displacement pressure [psi] (Dis press) * PI: Day-Stirrat, Ruarri J
	Void ratio (Void ratio) * PI: Day-Stirrat, Ruarri J * COMMENT: from Moisture and Density
	Porosity [% vol] (Poros) * PI: Day-Stirrat, Ruarri J * COMMENT: from Moisture and Density
	Overburden pressure [kPa] (Overb press) * PI: Day-Stirrat, Ruarri J
	Hydrostatic pressure [kPa] (Sigma H) * PI: Day-Stirrat, Ruarri J
	In-situ pressure [kPa] (Sigma) * PI: Day-Stirrat, Ruarri J
	Overpressure [kPa] (Sigma*) * PI: Day-Stirrat, Ruarri J
	Vertical effective stress [kPa] (SigmaV ef) * PI: Day-Stirrat, Ruarri J
	Hydrostatic effective Stress [kPa] (Sigma vH) * PI: Day-Stirrat, Ruarri J
	Illite (Ill) * PI: Day-Stirrat, Ruarri J * COMMENT: 1. Illite-smectite fabric intensity (maximum pole density in multiples of a random distribution (m.r.d.))
	Illite (Ill) * PI: Day-Stirrat, Ruarri J * COMMENT: 2. Illite-smectite fabric intensity (maximum pole density in multiples of a random distribution (m.r.d.))
	Illite (Ill) * PI: Day-Stirrat, Ruarri J * COMMENT: 3. Illite-smectite fabric intensity (maximum pole density in multiples of a random distribution (m.r.d.))
